类别,股票代码,日期,快线强弱,红柱数量,大陆代码
即将金叉,002252,2019-07-18,-0.0015225844818799183,-0.008782728824627203,sz.002252
即将金叉,002294,2019-07-18,-0.12222063600643315,-0.12317809981811373,sz.002294
即将金叉,002310,2019-07-12,-0.013121306017564935,-0.046103471148240344,sz.002310
即将金叉,002333,2019-07-18,-0.01729833844860175,-0.039257265140051456,sz.002333
即将金叉,300434,2019-07-08,-0.03208016148745696,-0.046788604195644165,sz.300434
即将金叉,600490,2019-06-28,-0.02627896886615337,-0.03058826903993407,sh.600490
即将金叉,603726,2019-06-27,-0.007414070007998208,-0.04681680954802514,sh.603726
即将金叉,603816,2019-07-12,-0.004030392674961369,-0.16321383197138828,sh.603816
