类别,股票代码,日期,快线强弱,红柱数量,大陆代码
即将金叉,000691,2019-07-29 11:15,-0.016636758175147717,-0.022592053233169027,sz.000691
即将金叉,000799,2019-07-26 13:15,-0.03926285529913449,-0.04532515886751714,sz.000799
