类别,股票代码,日期,快线强弱,红柱数量,大陆代码
即将金叉,000011,2019-07-25 10:30,-0.06745141811847377,-0.06814876875661702,sz.000011
即将金叉,000571,2019-07-26 10:30,-0.006268958583326833,-0.008350010201890912,sz.000571
即将金叉,000620,2019-07-26 10:30,-0.01015516533110794,-0.010601636328790274,sz.000620
即将金叉,000915,2019-07-19 10:30,-0.01384776978939195,-0.023346526141695745,sz.000915
即将金叉,000963,2019-07-24 14:00,-0.05627116936026027,-0.07206213414342527,sz.000963
即将金叉,002202,2019-07-26 11:30,-0.07716192085799217,-0.08153626509232141,sz.002202
