类别,股票代码,日期,快线强弱,红柱数量,大陆代码
golden,600644,2019-07-26,down0,3,sh.600644
golden,600645,2019-07-29,down0,2,sh.600645
golden,600647,2019-07-26,down0,3,sh.600647
golden,600648,2019-07-18,down0,9,sh.600648
golden,600650,2019-07-29,down0,2,sh.600650
golden,600651,2019-07-24,down0,5,sh.600651
golden,600652,2019-07-26,down0,3,sh.600652
golden,600654,2019-07-26,down0,3,sh.600654
golden,600655,2019-07-16,down0,11,sh.600655
golden,600662,2019-07-26,down0,3,sh.600662
golden,600663,2019-07-26,down0,3,sh.600663
golden,600664,2019-07-29,down0,2,sh.600664
golden,600667,2019-07-26,down0,3,sh.600667
golden,600673,2019-07-23,down0,6,sh.600673
golden,600674,2019-07-25,up0,4,sh.600674
golden,600675,2019-07-26,down0,3,sh.600675
golden,600676,2019-07-26,down0,3,sh.600676
golden,600679,2019-07-29,down0,2,sh.600679
golden,600682,2019-06-17,down0,32,sh.600682
golden,600687,2019-07-30,down0,1,sh.600687
golden,600689,2019-07-26,down0,3,sh.600689
golden,600695,2019-07-30,down0,1,sh.600695
golden,600697,2019-07-30,down0,1,sh.600697
golden,600703,2019-07-26,down0,3,sh.600703
golden,600706,2019-07-30,down0,1,sh.600706
golden,600715,2019-07-26,down0,3,sh.600715
golden,600716,2019-07-29,down0,2,sh.600716
golden,600717,2019-07-24,down0,5,sh.600717
golden,600721,2019-06-21,down0,28,sh.600721
golden,600724,2019-07-25,down0,4,sh.600724
golden,600728,2019-07-26,down0,3,sh.600728
golden,600737,2019-07-29,up0,2,sh.600737
golden,600740,2019-07-26,down0,3,sh.600740
golden,600741,2019-07-25,up0,4,sh.600741
golden,600742,2019-07-25,up0,4,sh.600742
golden,600747,2019-07-25,down0,4,sh.600747
golden,600757,2019-07-30,down0,1,sh.600757
golden,600761,2019-07-30,down0,1,sh.600761
golden,600764,2019-07-29,up0,2,sh.600764
golden,600766,2019-07-30,down0,1,sh.600766
golden,600767,2019-07-15,up0,12,sh.600767
golden,600769,2019-07-24,down0,5,sh.600769
golden,600770,2019-07-30,down0,1,sh.600770
golden,600775,2019-07-24,down0,5,sh.600775
